"Site","Date","Campaign","Network.Role","NPOC..mg.C.L.","NO3..mg.N.L.","NH4..ug.N.L.","TDN..mg.N.L.","PO4..ug.P.L.","Cl..mg.Cl.L.","SO4..mg.S.L.","Na..mg.Na.L.","K..mg.K.L.","Mg..mg.Mg.L.","Ca..mg.Ca.L.","Q","TSS_mg_L","AFDM_mg_L","Area.m2","elevation_point_m","mean_elevation_m","mean_slope_deg","mean_aspect_deg","mean_precip_mm","npoc_mass","no3_mass","nh4_mass","tdn_mass","po4_mass","cl_mass","so4_mass","na_mass","k_mass","mg_mass","ca_mass","tss_mass","afdm_mass","location"
"USF03",2023-05-30,1,"mainstem",4.58,0.245,5.905,0.455,2.03,1.735,0.81,1.66,0.495,0.865,3.085,NA,NA,NA,28885655,2502.49096679688,3072.03630740161,23.2148992346512,186.345643527957,815.08309173584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
"USF04",2023-05-31,1,"tributary",8.93,0.01,8.28,0.23,10.49,3.16,3.19,5.44,1.16,4.61,9.44,NA,NA,NA,1855105,2573.9287109375,2830.5148714563,24.6824324324324,146.962058212058,712.785003662109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
"USF05",2023-05-31,1,"mainstem",4.33,0.26,6.555,0.39,2.225,1.745,0.81,1.625,0.475,0.835,3.035,NA,NA,NA,25453951,2573.51733398438,3121.35208079035,23.0122866894198,187.317709518392,839.510688781738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
"USF07",2023-06-01,1,"tributary",5.35,0.81,2,1.01,2.72,2.36,1.95,3.39,0.87,1.83,4.59,NA,NA,NA,2296412,2663.60424804688,3042.24856083357,24.6568544995795,141.834735071489,772.661750793457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
"USF09",2023-06-12,2,"tributary",3.14,0.62,4.83,0.74,4.52,1.78,0.96,2.45,0.62,1.06,3.22,NA,NA,NA,1941988,2945.677734375,3246.68948662766,20.2136115250869,132.722801788376,875.391186523437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper"
"USF10",2023-06-12,2,"mainstem",4.5,0.09,9.15,0.21,1.73,1.585,0.585,1.26,0.4,0.685,2.745,NA,NA,NA,6404955,2896.12939453125,3385.07376549216,21.232056694813,188.577653799759,938.930500030518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper"
"USF11",2023-06-12,2,"tributary",1.84,0.26,5.47,0.36,3.72,1.77,0.95,1.84,0.45,0.86,3.8,NA,NA,NA,5003890,2828.42114257812,3199.56170539918,22.8216216216216,220.928185328185,878.860406494141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper"
"USF03",2023-06-13,2,"mainstem",3.99,0.225,2,0.37,3.325,1.775,0.835,1.84,0.47,0.96,3.425,NA,NA,NA,28885655,2502.49096679688,3072.03630740161,23.2148992346512,186.345643527957,815.08309173584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
"USF04",2023-06-13,2,"tributary",8.04,0.01,2,0.2,9.3,3.12,3.3,5.64,1.19,4.91,10.05,NA,NA,NA,1855105,2573.9287109375,2830.5148714563,24.6824324324324,146.962058212058,712.785003662109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
"USF05",2023-06-13,2,"mainstem",3.93,0.19,2,0.31,2.625,1.88,0.74,1.565,0.415,0.85,3.13,NA,NA,NA,25453951,2573.51733398438,3121.35208079035,23.0122866894198,187.317709518392,839.510688781738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower"
