"site","location","area_m2","network_role","mean_annual_ppt_mm","mean_slope","mean_aspect","res_logQ_mean","res_logQ_se","res_logNPOC_mean","res_logNPOC_se","res_logNO3_mean","res_logNO3_se","res_logTDN_mean","res_logTDN_se","res_logPO4_mean","res_logPO4_se","res_logCl_mean","res_logCl_se","res_logSO4_mean","res_logSO4_se","res_logNa_mean","res_logNa_se","res_logK_mean","res_logK_se","res_logTSS_mean","res_logTSS_se","res_logAFDM_mean","res_logAFDM_se"
"USF03","lower",28885655,"Mainstem",730.376100713557,23.2148992346508,186.345643527957,0.404174344294008,0.0830741896761175,0.334626428650107,0.100629466852116,0.465454028937842,0.085953016298486,0.318570997487389,0.0864260832250426,0.228385461697061,0.090868553134686,0.282880594386558,0.0933623282756374,0.317888294367434,0.0850869012260231,0.354525546387935,0.0809490087238514,0.353563950553196,0.0802809043636634,0.216395988064503,0.1179017853637,0.326295483063087,0.0780585009740657
"USF04","lower",1855105,"Tributary",647.493225097656,24.6824324324324,146.962058212058,-0.999473138742498,0.168467323451829,-0.721703051052954,0.209979688415714,-1.96574776433165,0.178232843259132,-1.1069526290041,0.207777589600369,-0.835199122286875,0.199784665394825,-0.692718121053359,0.165012612173608,-0.495915317730881,0.155191469424417,-0.542233750545713,0.153400902206841,-0.725632174229158,0.189090996454388,-0.851292272483613,0.269316573910999,-0.682277733169949,0.285604971536355
"USF05","lower",25453951,"Mainstem",752.557789829799,23.0122866894197,187.317709518392,0.399046384375023,0.064442316689936,0.337619120137572,0.0873392685323373,0.437953811134169,0.0827969059904928,0.366694906930364,0.0714718102785759,0.461636758958968,0.164222195357776,0.338741154041405,0.0786030324176267,0.307389891545634,0.0601789348512421,0.358653740291527,0.0635666712610928,0.37293899746351,0.0801395754229938,0.420046389651969,0.166706473347518,0.402083169082681,0.17121596125349
"USF07","lower",2296412,"Tributary",713.151089138455,24.6568544995795,141.834735071489,-0.393298254476003,0.0965680413379514,-0.313469925020261,0.102976945409211,0.63329579508873,0.126166711063127,-0.011222700472001,0.112866626433628,-0.363172311037179,0.0699029635949885,-0.286624598226816,0.108979547139996,-0.0705558783715464,0.100840640644326,-0.17763237923834,0.0992223573954643,-0.201634088880244,0.120835440188774,-0.458630353677643,0.215664590117046,-0.447982677345482,0.180763779114191
"USF09","middle",1941988,"Tributary",790.983306884766,20.2136115250869,132.722801788376,-0.0412551473499222,0.146142675262465,-0.346979170389191,0.130231458483379,0.98527302159107,0.181610513703749,0.246193428288959,0.141242744840741,0.00810779333336181,0.44748161650957,-0.0729165554236136,0.202876739345869,-0.0655609915492981,0.250911053614436,0.0279853906286635,0.248511612173551,-0.00647311603146222,0.23677106424879,-0.842301699909371,NA,-0.622234465680571,NA
"USF11","middle",5003890,"Tributary",804.740885416667,22.8216216216216,220.928185328184,0.131780902489839,0.106624701222196,-0.358330910657057,0.117119556126835,0.665619571489893,0.0246896094786029,0.245805364562682,0.0722198197042416,-0.0487111642420037,0.464559650953864,-0.0229193209938882,0.163016910681038,0.152655997641617,0.0874841639639257,0.0565784694757949,0.136350824128587,-0.0158472451016249,0.189105916513574,-0.399542345221609,NA,-0.0429577563456425,NA
"USF12","lower",35878093,"Outlet",689.340476989746,23.7142546245916,194.04396082698,-1.15937728893087,0.0645328378315848,-1.21097883133282,0.0872246312737767,-1.35198945312919,0.0956017782095774,-1.27838557641668,0.0714644991568631,-1.48542052244243,0.118942406214083,-1.24557680451718,0.0887988598284506,-1.24852323639727,0.0702411505622851,-1.19451358023735,0.069772651382686,-1.18788925807886,0.089483640237546,-1.38615756893444,0.145078720809367,-1.30122307459336,0.112204223011591
"USF13","upper",756190.5,"Tributary",900.135986328125,21.2959183673469,124.625,0.197704446462101,0.0789629969045033,0.12499674604267,0.142623429367639,-0.51907213776236,0.196274497640917,-0.170465537805562,0.0758635726276867,0.00510461710913868,0.083218969611814,0.115382462877015,0.199938021706437,-0.0550516770948812,0.0542310344599317,0.08764638854143,0.11966295262077,-0.463481169892622,0.347259069590436,0.055402755495966,0.245359717808771,-0.164861941616084,0.29598922897231
"USF14","upper",2026488,"Mainstem",904.61247253418,20.1442857142858,214.863333333333,0.372381213199526,0.0871140656371786,0.231111908958068,0.108136573510757,-0.129108471827806,0.154531180641304,0.219482345607036,0.113690454359843,0.259131000099619,0.109054818057001,0.337078074075558,0.114696036769214,0.151722021062936,0.0840204257240124,0.253205618360476,0.0880354317659688,0.00784901548693332,0.234058416791092,-0.0070216208373125,0.250042846891049,-0.149502863409486,0.173403297060679
"USF15","upper",848920.2,"Mainstem",910.852478027344,22.3943181818182,175.984090909091,-0.123450768592838,0.123407802737404,-0.359680414772132,0.142566480729,-0.609360801895252,0.206086537465725,-0.264659142270213,0.145368867251072,-0.214352712426863,0.152129571958561,-0.299222185456604,0.12058689116239,-0.438468200639691,0.119239474815752,-0.335064928472786,0.121121544176187,-0.399251126700015,0.166159253381974,-0.406957272757565,0.213562878351031,-0.317560475001864,0.157845256892315
"USF16","upper",387371.4,"Tributary",896.608947753906,17.3737623762376,225.618811881188,0.424317170935571,0.0441671210537186,0.247395500648666,0.066988355667863,0.411314938451694,0.137368469003052,0.325921699383654,0.0551062188496445,0.457804080235352,0.0783230880864867,0.154739507793004,0.0801501068522548,0.160487346048565,0.0472932332122743,0.155782166876931,0.0476102666979254,-0.293858290816771,0.319534826741187,0.065948689159574,0.237518235989309,0.153531439494714,0.17444628374733
"USF17","upper",219441.8,"Tributary",896.608947753906,16.6696035242291,253.876651982379,-0.53947953083364,0.0667786250290373,-0.855799484434716,0.101860770941371,-0.531415774371094,0.302608375543796,-0.779984337643327,0.143904588624407,-0.59818151179541,0.226789099875237,-0.574649882548424,0.151176759873865,-0.572679127864031,0.0781010642512645,-0.542656196165114,0.110134866024689,-0.656585169300496,0.149385790969122,-0.325593783418619,0.19946740159413,-0.232048416531701,0.259475377412027
"USF18","upper",114357,"Tributary",896.608947753906,20.3162393162393,249.153846153846,0.273774784478611,0.0950088434463219,0.141520577545836,0.130858404367924,-0.208219671102399,0.180679272490917,0.101105857450571,0.111247739420135,0.40802746625248,0.151890891036117,0.0440888748872992,0.1065390832924,0.21877185909075,0.0997205481073009,0.113547165826915,0.090166638860783,0.0048160464386542,0.184310336874156,-0.42502491732189,0.237857474336552,-0.268519186718063,0.113962348089172
"USF19","upper",118050.3,"Mainstem",910.557983398438,23.2380952380952,182.428571428571,0.119951691870932,0.0499240097897688,-0.204286499906831,0.135130675096744,0.316800059457874,0.147574796886211,0.151846561856352,0.0664024667767072,0.408354222016584,0.114333111216392,0.0542914170948195,0.106066817637708,-0.191217630738289,0.0520835140990042,0.0190095889604828,0.0757753919548681,0.0414812141584103,0.076769450132038,-0.092652204601541,0.192752551011901,0.0629846089181661,0.205353683904454
"USF20","lower",19141915,"Mainstem",791.293453216553,22.4386318922465,190.326388538565,0.435609207189674,0.0699575255874737,0.339233428950169,0.101707353649318,0.506386463316704,0.13581472995109,0.375965548627326,0.0707570039667561,0.49403720434549,0.138276573700197,0.371036968509695,0.0765707121407919,0.32117806238907,0.0691451556384139,0.369839370008663,0.0647444366961224,0.360337053301115,0.0900162560750769,0.235603683339598,0.16305333106605,0.359567500231101,0.139961258023382
"USF21","upper",2818745,"Mainstem",904.61247253418,20.2822884549503,190.02843439534,0.282160441821678,0.136614974923781,0.17802333025905,0.151763560834917,-0.321930098093426,0.21282122827004,0.0927277917803826,0.144963512972094,0.237893890499636,0.177513333256595,0.0926160444648666,0.208824695689436,-0.0613388932027645,0.166113159084858,0.0343656615469862,0.181576880815588,-0.022436773001867,0.181513801946972,0.0625661030300814,0.196673674929386,0.0722451544584315,0.134063830024141
"USF22","lower",685111.6,"Tributary",694.752731323242,24.1139240506329,131.36005625879,-0.74657812300815,0.129631560222205,-0.5633754414285,0.146398601687296,-1.82561607287628,0.142697470705061,-0.860153161831187,0.140357189133037,-0.535957335690037,0.0987452417378531,-0.53593494312661,0.153493258177789,-0.355074053263922,0.149508726655893,-0.453949725338077,0.138576485789576,-0.569685193708873,0.164835816934814,-0.388010797751947,0.206527263050081,-0.240843902286859,0.224996475075774
"USF23","lower",1428947,"Tributary",713.151089138455,25.0703177822853,147.104124408384,-0.346746567809515,0.0939452299586719,-0.313699495914464,0.1021907700771,0.846437470610878,0.123589687380233,0.134088136172939,0.113266273443358,-0.260882270181249,0.0871846869195098,-0.207064560783897,0.1062689316323,-0.0425181523011834,0.103592819152514,-0.151581580724528,0.0989485921685695,-0.125563896214588,0.118944922497399,-0.210600309263342,0.212514572881423,-0.182502143767582,0.21135501220679
"USF24","lower",1484873,"Tributary",600.127644856771,28.3868232224396,238.981082844096,-0.456955227755546,0.118671311424067,-0.355757723038423,0.153215854353045,-0.462809702317526,0.255935282289414,-0.532468504657417,0.103043060945425,-0.419624855256937,0.165718971351491,-0.392353155541754,0.126479437809512,-0.252091119920045,0.124496759761482,-0.435364390848136,0.115223863193928,-0.449378896582999,0.141904223983493,-0.712233931938588,0.213565389559024,-0.649465748990825,0.135364049569271
"USF25","lower",1144825,"Tributary",590.47900390625,26.82910321489,244.672588832487,-0.751671848966658,0.145716484212293,-0.783828354336812,0.179119522169309,-1.68246015456358,0.162029115953116,-0.975238504458952,0.165958394067576,-0.981263907760746,0.252602712271717,-0.732702108269069,0.181516361301475,-0.533543534529836,0.159096370609336,-0.60061315294954,0.146089304167381,-0.868550396150958,0.191437474627807,-0.790810643163335,0.228326821654716,-0.893704654656191,0.211033035861348
"USF26","lower",429695.9,"Tributary",588.234985351562,23.8561797752809,260.638202247191,-0.631049399954066,0.135716138666622,-0.558360150973837,0.212827972547554,-1.62002562264455,0.152680757511287,-0.818492666860282,0.191285435321276,-0.584025653803879,0.201990062762222,-0.384176818850216,0.164885695648099,-0.227757562468602,0.160707951931612,-0.253881249958808,0.138011768084109,-0.633521525979999,0.187052738969533,-0.584839769396423,0.303451438273733,-0.673348386131782,0.247197091688827
"USF28","upper",56663.36,"Tributary",863.872985839844,21.9310344827586,275.396551724138,-0.110526010141401,0.170293167625615,-0.120141800896065,0.245187785252632,-0.145478312198123,0.325239438222504,-0.104948881564061,0.241907844335194,-0.175776964673175,0.1488672965188,-0.261261902508607,0.252884129086801,-0.0637052525877018,0.212440979046966,-0.113661957342005,0.210615483527988,-0.239708502524657,0.330524655378004,-0.031194367311612,0.238799762220142,0.00544596072170311,0.276881213837877
"USF29","upper",71086.77,"Tributary",896.608947753906,22.36,277.306666666667,0.190435493766116,0.119765117064267,-0.0696929294534721,0.148852135776736,1.00600989035613,0.183292682775975,0.249626040622624,0.091256401307847,0.211097937401354,0.223885838697631,0.0471483981411913,0.16450152351169,0.267590588886892,0.150839423631986,0.232281578421049,0.148781879957163,0.115457794291494,0.222745630059887,-0.261150453869858,0.25239475010799,-0.161330933936981,0.17265277078835
"USF31","upper",252856.1,"Tributary",885.35498046875,22.3257575757576,122.280303030303,-0.142193290326446,0.143970180747825,-0.215474668005609,0.211770165174791,0.044897825705682,0.111722375342237,-0.104253951459078,0.170761649440698,-0.621336542262522,0.156694260309101,-0.355919680345589,0.190483824151629,-0.525400876410359,0.185500180055606,-0.394590052646065,0.185242270635594,-0.462371709566607,0.38993626530923,-0.197022828063789,0.305319417722705,-0.284326328430464,0.155479288458726
