"Site","location","Area.m2","Network.Role","mean_elevation_m","mean_slope_deg","mean_aspect_deg","mean_precip_mm","Qres_mean","Qres_SE","NPOCres_mean","NPOCres_SE","no3res_mean","no3res_SE","tdnres_mean","tdnres_SE","po4res_mean","po4res_SE","clres_mean","clres_SE","so4res_mean","so4res_SE","nares_mean","nares_SE","kres_mean","kres_SE","tssres_mean","tssres_SE","afdmres_mean","afdmres_SE"
"USF03","Lower",28885655,"mainstem",3072.03630740161,23.2148992346512,186.345643527957,815.08309173584,0.0477909945175713,0.0136201182757485,0.0188051897736309,0.0267986895048943,0.0420555091896258,0.0464712445876665,0.0188544217383737,0.0286033466897147,-0.0702741331085869,0.0572350890968342,-0.0560319205183495,0.0407949180022247,0.0483700149862202,0.0116690536881495,0.0216579128333702,0.0202098748118036,0.00722971802111923,0.0322311531605053,-0.0178954728704423,0.0571215954451362,0.0325341991011422,0.0435365804216548
"USF04","Lower",1855105,"tributary",2830.5148714563,24.6824324324324,146.962058212058,712.785003662109,-0.0253414773820995,0.00044460715255469,-0.0219324339103912,0.00185809063966258,-0.0244558011091743,0.000105288160570372,-0.0249515635729572,0.000378648221347978,-0.0207454819105224,0.00047793880065679,-0.0218448485425869,0.000700335146046462,-0.022036289931948,0.00104467735821874,-0.0219416695310025,0.001026951897273,-0.0221120895436047,0.00135996832566719,0.0395148102335269,0.0603634284083575,0.0443944329508024,0.0660069994849443
"USF05","Lower",25453951,"mainstem",3121.35208079035,23.0122866894198,187.317709518392,839.510688781738,0.0859942585621425,0.018592333262449,0.0791528727063672,0.0176957653726281,0.0469620606677675,0.0538884017113606,0.0730137608606161,0.020705762187717,0.0222171085324521,0.0418710847242353,0.0201801846766481,0.0411970717058298,0.0766878579424979,0.0184383963512676,0.0643193924469671,0.0211383223961376,0.0427960193060097,0.0254186723989131,-0.00478540513590513,0.0561925382860659,-0.0496639382559559,0.068243762416317
"USF07","Lower",2296412,"tributary",3042.24856083357,24.6568544995795,141.834735071489,772.661750793457,-0.0221434213454048,0.00168446155387446,-0.0167475833958411,0.00281230372545389,0.0156661508901019,0.00674906126346942,-0.00658229590024573,0.00397628456440779,-0.0132283234668418,0.0079130276581173,-0.0175808008277918,0.0024220199982235,-0.0103290053213158,0.00276404699139254,-0.0160615721112535,0.00243183805931164,-0.0136407045322255,0.00247993071839002,-0.0190951110164403,0.00340320952177647,-0.0222589853841648,0.00183089156522058
"USF12","Lower",35878093,"mainstem/outlet",2988.33347345201,23.7142546245919,194.043960826986,779.146704673767,-0.0931947048396072,0.0241939150167019,-0.08156699449083,0.0313793258198836,-0.220921579472943,0.0350860636089238,-0.126712377730762,0.0317956122861715,-0.202905734765063,0.0457311870355931,-0.127750595344958,0.0362252860161802,-0.0837802210033314,0.0237197412133139,-0.0846018273507348,0.0262827981718212,-0.099861203599775,0.036170916373459,-0.143110312018785,0.0449716727786384,-0.147326220211109,0.0406610758879485
"USF14","Upper",2026488,"mainstem",3542.68702324341,20.1442857142857,214.863333333333,1013.8125,0.0752529775598188,0.0206871535751273,0.0785999671747433,0.038783975652419,-0.00973439955523562,0.00510713522305213,0.0455849356162829,0.0234732867852216,0.0141836938925056,0.0131012667538468,0.0300533749418466,0.0103987933851547,0.0273612635808831,0.0122850374627152,0.0267671140924519,0.0107660192251126,0.0261602264430111,0.0188142591288093,0.0232322441869581,0.0188117523245831,-0.00243295533214945,0.00707241414399114
"USF15","Upper",848920.2,"mainstem",3583.19656563842,22.3943181818182,175.984090909091,1022.59750366211,0.00654369078510401,0.00440380192515994,0.00302497419242296,0.00581886839411517,-0.00922605634515766,0.000691303434673845,-0.00186981442632363,0.0034542275977503,-0.00350986009966643,0.00216089121804579,-0.00305487982425046,0.00195432284671269,-0.00502922426021681,0.00206337413857408,-0.00428569951544004,0.00201821991087593,-0.00271892201431854,0.00268767494381236,-0.00102012304926687,0.00315717010005833,-0.00387883687752439,0.00195497809485463
"USF16","Upper",387371.4,"tributary",3535.44025880651,17.3737623762376,225.618811881188,1002.35198974609,0.0278871556846203,0.00209146223616251,0.0225950003748091,0.00560439424656685,0.00264338731357343,0.00173513138259171,0.0137999447065797,0.00446281968763122,0.0113745946413008,0.00458564281934445,0.00901836510983755,0.00215808454649152,0.0103136262521543,0.00115019823018207,0.00841247585243338,0.0013926529547891,0.00773718646289774,0.00557176411442064,0.0154067528744698,0.00728581688482092,0.00667607676485121,0.00432930916817786
"USF18","Upper",114357,"tributary",3498.18632717918,20.3162393162393,249.153846153846,1002.35198974609,0.00991118460642207,0.00233090272254694,0.0103235671197785,0.00379027180290157,-0.000688461620446475,0.000397546906702596,0.0049787445687249,0.00334648050957777,0.00607391086609445,0.00212212200174175,0.00388723654356917,0.00165852269373012,0.00633983763415989,0.00173917884248955,0.00402248333707344,0.00168205244820806,0.00439986777476277,0.00243379142855253,0.00287615985901636,0.00273716401456378,0.000825637753009833,0.00161948476814889
"USF19","Upper",118050.3,"mainstem",3611.40366062396,23.2380952380952,182.428571428571,1022.36499023438,0.00575819263401779,0.000477569725564414,0.00161731906186992,0.000409755232425779,0.00123354275215807,0.00136093096240876,0.00374177419012821,0.000893671330879555,0.00347557943921019,0.000820092000489772,0.0028145972335208,0.00105063780101108,0.000451057789354791,0.000269171008669934,0.00185971948014388,0.000346631286859855,0.00466570466788737,0.000994548695208402,0.00398152739221095,0.00124741551111757,0.0142546500158333,0.00921784559535828
"USF20","Lower",19141915,"mainstem",3197.32970971598,22.4386318922464,190.326388538566,878.11255730523,0.138767565816759,0.0261530119253642,0.0907805124014532,0.0330854967449264,0.111351116918606,0.0416370235086241,0.139751470922377,0.0360184983840494,0.142391669088764,0.0355864442022802,0.129381885804852,0.0350131779085403,0.12150435753191,0.0267057185750392,0.118078819165869,0.0281489655117019,0.0887584052815164,0.0390902886789325,0.0823490434485586,0.069072620749637,0.057652489566983,0.0597057148449971
"USF21","Upper",2818745,"mainstem",3530.71396761165,20.2822884549503,190.028434395341,1013.8125,0.0469037440842138,0.0203806766430326,0.0216544538916482,0.0202530078661061,-0.0242238929185845,0.00495823912298653,-0.00105635084258221,0.0141681247732141,-0.000905776875565195,0.0142551804202745,0.0434276516553465,0.0361194919504242,0.00311535154190761,0.0100747206501103,0.0132083935343583,0.0168125360854708,0.0072345743203497,0.0180803322111599,0.0210916028128495,0.0279496672147046,0.0151409262532681,0.0189297351082313
"USF22","Lower",685111.6,"tributary",3013.30642167898,24.1139240506329,131.36005625879,758.648742675781,-0.00844807384951722,0.000224670591527187,-0.006650021452642,0.000574382996504482,-0.00905894070586239,4.84759400407509e-06,-0.00885231897603509,0.000109637929207864,-0.00646353367971541,0.00113088967698394,-0.00653371641740938,0.000333343094751629,-0.00580952563469244,0.000454044372962661,-0.00675998102282523,0.000343730339925914,-0.00639187576410237,0.000553737476280096,0.0330380165022861,0.0378035295393422,0.0252423394823629,0.0282571354102858
"USF23","Lower",1428947,"tributary",3086.79092391655,25.0703177822853,147.104124408384,777.821140834263,-0.00946742641336463,0.00125747118208643,-0.00610272462999986,0.00219127753269082,0.0348207162254284,0.00952779264709595,0.0111091355196649,0.00373532773249853,-0.0045475944747272,0.00833575835535624,-0.0061461349695488,0.00183634653549084,0.000593917621514579,0.00206988499552086,-0.00465304892080748,0.00173148092427111,-0.0020891720226735,0.00293311123703438,-0.00603093653736779,0.00340676200231595,-0.0102891787653376,0.00113403396893659
"USF24","Lower",1484873,"tributary",2787.18243372501,28.3868232224397,238.981082844097,674.086995442708,-0.0115588424638505,0.00328869524753236,-0.0073830460897089,0.00431657780690088,-0.0122407271276316,0.00326554593953149,-0.010779937909386,0.00345060460730527,-0.00616934109029933,0.00621035933423704,-0.00796353637810951,0.00502979170159556,-0.00530594101434508,0.00502342304343833,-0.011528672406443,0.00333832327241442,-0.0118245705387751,0.00281693279545505,-0.00400771305537339,0.00348733936883752,-0.00765181213527174,0.00361081533612089
